Date,Open,High,Low,Close,Volume,Adj Close
2014-05-06,12.05,12.14,11.850001,11.88,48300,57.081573
2014-05-05,12.20,12.32,11.99,12.00,49300,57.658153
2014-05-02,12.30,12.670001,12.14,12.33,89400,59.24375
2014-05-01,11.600001,12.37,11.600001,12.24,109700,58.811314
2014-04-30,11.38,11.970001,11.13,11.95,167100,57.417911
2014-04-29,11.86,12.020001,11.28,11.38,178100,54.67915
2014-04-28,13.010001,13.07,11.79,11.86,296800,56.985474
2014-04-25,13.210001,13.52,12.770001,13.330001,156200,64.0486
2014-04-24,13.530001,14.40,13.060001,13.22,293400,63.520064
2014-04-23,12.82,12.84,12.41,12.54,49600,60.252771
2014-04-22,12.50,12.85,12.37,12.770001,77500,61.357887
2014-04-21,12.50,12.57,12.23,12.510001,55100,60.108628
2014-04-17,12.45,12.600001,12.25,12.510001,53800,60.108628
2014-04-16,11.94,12.510001,11.78,12.45,99000,59.820334
2014-04-15,11.649999,12.18,11.32,11.82,225700,56.79328
2014-04-14,12.32,12.44,11.64,11.79,115700,56.649136
2014-04-11,12.38,12.58,12.100001,12.260001,131100,58.907416
2014-04-10,13.47,13.680001,12.350001,12.520001,109900,60.156676
2014-04-09,13.22,13.57,12.859999,13.44,59800,64.577129
2014-04-08,13.17,13.50,13.02,13.160001,90700,63.231778
2014-04-07,13.609999,13.640001,12.87,13.230001,210000,63.568116
2014-04-04,14.130001,14.380001,13.65,13.74,88600,66.018583
2014-04-03,13.95,14.310001,13.859999,14.07,109000,67.604183
2014-04-02,14.15,14.15,13.810001,13.99,65000,67.219794
2014-04-01,13.60,14.15,13.32,14.140001,113900,67.940529
2014-03-31,13.760001,14.10,13.45,13.55,99700,65.105665
2014-03-28,12.93,13.70,12.910001,13.65,91100,65.58615
2014-03-27,13.00,13.80,12.54,12.93,136300,62.126662
2014-03-26,13.59,13.84,13.04,13.04,99400,62.65519
2014-03-25,13.55,13.82,13.49,13.54,98900,65.057614
2014-03-24,13.97,14.00,13.060001,13.42,173900,64.481033
2014-03-21,14.109999,14.410001,13.97,13.97,118100,67.123699
2014-03-20,14.260001,14.60,13.92,14.010001,95800,67.315897
2014-03-19,14.35,14.60,14.260001,14.50,100800,69.670269
2014-03-18,14.25,14.50,14.02,14.32,121900,68.805395
2014-03-17,14.22,14.85,13.880001,14.25,168300,68.469057
2014-03-14,12.960001,14.05,12.82,14.00,278100,67.267846
2014-03-13,13.07,13.17,12.70,12.97,121400,62.318853
2014-03-12,12.16,13.03,11.75,12.98,192900,62.366904
2014-03-11,11.760001,13.22,11.75,12.80,546700,61.50203
2014-03-10,11.010001,11.260001,10.93,11.23,91100,53.95842
2014-03-07,11.18,11.24,10.87,11.100001,63400,53.333796
2014-03-06,11.45,11.54,10.96,11.16,130900,53.622082
2014-03-05,10.850001,11.399999,10.760001,11.34,162500,54.486956
2014-03-04,10.28,10.99,10.23,10.83,145400,52.036481
2014-03-03,10.32,10.470001,9.99,10.21,75900,49.057478
2014-02-28,10.00,10.68,9.98,10.36,180000,49.778205
2014-02-27,9.94,10.13,9.84,9.970001,30400,47.904318
2014-02-26,9.85,10.16,9.70,9.95,45900,47.808219
2014-02-25,9.970001,9.98,9.78,9.82,30000,47.183587
2014-02-24,9.74,10.16,9.71,9.93,70000,47.712123
2014-02-21,9.91,10.00,9.64,9.68,48900,46.510912
2014-02-20,9.65,9.89,9.61,9.84,43800,47.279687
2014-02-19,9.90,9.91,9.57,9.62,50300,46.222618
2014-02-18,10.08,10.20,9.90,9.90,48300,47.567977
2014-02-14,10.11,10.260001,9.89,10.09,39500,48.480898
2014-02-13,10.13,10.32,9.970001,10.24,64400,48.360774
2014-02-12,10.13,10.260001,10.09,10.18,43300,48.077414
2014-02-11,10.09,10.20,10.010001,10.149999,40600,47.935727
2014-02-10,10.12,10.29,9.79,10.07,78000,47.557911
2014-02-07,10.04,10.32,9.93,10.07,119200,47.557911
2014-02-06,9.92,10.29,9.73,10.020001,110400,47.321778
2014-02-05,9.270001,9.95,8.93,9.94,111900,46.943954
2014-02-04,8.98,9.470001,8.510001,9.260001,163900,43.732502
2014-02-03,9.43,9.65,8.98,9.00,96400,42.504589
2014-01-31,9.310001,9.61,9.21,9.42,50100,44.488135
2014-01-30,9.62,9.810001,9.50,9.50,53600,44.865955
2014-01-29,9.78,9.83,9.46,9.54,53700,45.054865
2014-01-28,9.46,9.93,9.33,9.84,96800,46.471684
2014-01-27,9.34,9.68,9.23,9.42,72800,44.488135
2014-01-24,9.95,9.95,9.30,9.36,98400,44.204772
2014-01-23,10.010001,10.100001,9.770001,10.05,105200,47.463457
2014-01-22,10.470001,10.470001,9.98,10.100001,80100,47.699598
2014-01-21,10.29,10.50,10.010001,10.49,93300,49.541457
2014-01-17,10.08,10.36,9.91,10.21,68400,48.219094
2014-01-16,9.560001,10.46,9.560001,10.04,183600,47.416231
2014-01-15,9.260001,9.66,9.21,9.54,77800,45.054865
2014-01-14,9.43,9.44,9.03,9.15,68900,43.212999
2014-01-13,9.25,9.36,8.94,9.05,81900,42.740725
2014-01-10,9.79,9.79,9.25,9.310001,79600,43.968639
2014-01-09,9.70,9.90,9.43,9.83,84600,46.424458
2014-01-08,9.63,9.75,9.33,9.70,101000,45.810501
2014-01-07,9.53,9.70,9.50,9.61,110300,45.385455
2014-01-06,9.25,9.510001,9.18,9.48,95600,44.771498
2014-01-03,9.00,9.220001,8.98,9.20,43400,43.449135
2014-01-02,9.15,9.24,8.95,8.98,58900,42.410132
